catalog_id,smiles,vendor,natural_product_like
m_274552____24795126____13185668____29537486,C=C(F)C(=O)N[C@]1(C)C[C@H](C(=O)NC(COC)C2CC2)C1,Enamine_REAL,true
s_272430____26373976____26392806,C#CCC1(C(=O)NC2(C)CCC3(CC3)CC2)CCNCC1,Enamine_REAL,true
m_274552____23414850____24969220____15975964,CON1CCC(C(=O)N2C[C@H](C(=O)N[C@H](C)CC3=CC=NN3C)[C@@H](C)C2)CC1,Enamine_REAL,false
s_207____1078006____9476234,CC1=CC(C)=CC(NCC2=CN=CC=C2C)=C1,Enamine_REAL,false
m_279130____28574856____28169208____28194284,CSCC1(CC(=O)N(CC2=CN(C[C@@H]3COC[C@H]3C)N=N2)CC(F)F)CC1,Enamine_REAL,false
m_275592____18896346____13187072____15857294,COC1=NC(O)=CC(C(=O)NCC2CCC(C)CN2C(=O)CCOCC(C)C)=N1,Enamine_REAL,false
m_282030____21902560____23865182____21935420,CSCC1(CNC2=NC(N3CCOC(COC4=CC=C(F)C=C4)C3)=CC=N2)CC1,Enamine_REAL,false
s_282730____26156986____26280284____30289494,NC(=O)C1=CN2C(=NC(C3=NC=CS3)=C2NCCC2=CC=CS2)C=C1,Enamine_REAL,false
m_275592____75591006____14138818____25324254,C=CC(CC)C(=O)N1CCC(NC(=O)CC2(C(F)(F)F)CC2)[C@H]1C,Enamine_REAL,true
m_274552____23522504____23463878____13454022,CCC(CC)C(=O)NC(C(=O)NC1(C2(OC)CCC2)CC1)C1CC1,Enamine_REAL,true
m_280710____31611794____31665136____31771004,C[C@H](NC(=O)C1=CN=CC(C(=O)NC2CCN3N=NC=C23)=C1)C1CC1,Enamine_REAL,false
m_274552____18613000____24998198____15975716,C=CC(O)C(=O)N(C)CCC(=O)NCC(C)(CO)CO,Enamine_REAL,false
m_282156____27675012____27679600____27554220,CC(C)OC1=CC=C(NC(=O)N(CC2COCC23CCC3)C[C@@H]2COC[C@H]2C)C=C1,Enamine_REAL,false
s_1458____773346____26095152,COCCOC(=O)C1=C(C)NC(C(=O)OCCN2CC(C)(C)OC2=O)=C1C,Enamine_REAL,false
s_2708____12054340____39713012,CC(C)CC(O)CCNC(=O)NCCC1=COC=C1,Enamine_REAL,true
s_11____9982688____22035728,CCN(CC)CCOC(=O)C1=CC=CC(NC(=O)CC2=CC(F)=CC=C2C)=C1,Enamine_REAL,false
m_207____41183112____16896330,CC(C)C1=C(NCC2=CC(S(=O)(=O)N(C)C)=CC=C2)C=NS1,Enamine_REAL,false
m_282151____25170480____25182158____30479290,CCC(CO)C(=O)N(CC1=CC=C(C2CCC2)N=C1)CC1(COC)CC1,Enamine_REAL,false
s_12____307910____25380544____25384740,CCOC(=O)C1=C(C2=CC=CC(C#N)=C2)N(C2=CC=CC=C2Cl)C(=S)NC1C1=NN=CN1CC,Enamine_REAL,false
m_274860____17154102____12536654____23178468,O=C(N1CCC2(CCCCO2)CC1)C1(N2C=C(C3=CSN=N3)N=N2)CC1,Enamine_REAL,false
s_527____9868002____14451752,CN1N=CC=C1C1CCCN(C(=O)CSC2=CC=CC=N2)C1,Enamine_REAL,false
m_275592____21037512____15840972____25321718,COCC1(NC(=O)CC2CC3(CCO2)CC3)CN(C(=O)C2=CC=C(C)C(CO)=C2)C1,Enamine_REAL,true
m_274552____23521790____24998218____15979176,COC1CN(CCNC(=O)CC2CCCN(C(=O)[C@H]3C[C@H]3C(N)=O)CC2)C1,Enamine_REAL,false
s_11____26644220____15246024,COC1=CC(Br)=CC(OC)=C1C(=O)N1CCC2(CC1)CC(C)(OC)C2,Enamine_REAL,true
m_280530____18822236____18862140____18879768,COC1=CC(C(CNC2=NC=C(S(=O)(=O)NCC3=C(C)ON=C3C)C=C2Cl)OC)=CC=C1,Enamine_REAL,false
m_274552____19121906____15959542____15981714,O=C1CN(C(=O)[C@H]2CC[C@H](NC(=O)C3(F)CCCC3)CC2)CC(=O)N1,Enamine_REAL,false
m_280710____31585366____31696500____31797668,O=C(N[C@H](CO)C(=O)N1C[C@H](O)CC(F)(F)C1)[C@H]1C[C@@H]1C1CCC1,Enamine_REAL,true
m_282151____25158140____25194632____25241222,CC(C)C(F)(F)CCN(CC1=CC=C(CCF)C=C1)C(=O)C1CCC(=O)N1,Enamine_REAL,false
m_274552____23519824____15957422____15986046,C=C1CCCN(C(=O)C2(COC)CN(C(=O)CCCC3CCCC3)C2)C1,Enamine_REAL,true
m_280710____31585008____44139094____31743428,CSCCNC(=O)CN(C(=O)/C=C/C1=CNC=N1)C1CC1,Enamine_REAL,false
s_22____20620682____14468572,CC1=C(I)C(C(=O)N2CCC(C3=NC(C(F)(F)F)=NO3)CC2)=NO1,Enamine_REAL,false
m_1626____22071760____22134942,O=C(NC(C1CCCC1)C1CCCC1)C1(Cl)CC12CCC2,Enamine_REAL,true
s_188690____21458990____21604356,CC(C)(C)OC(=O)N1CCCC(C(=O)N2CCC(C(=O)O)C3=CC(O)=CC=C32)CC1,Enamine_REAL,false
m_280710____31657642____31665134____31730268,CCC1(NC(=O)CCCCC(=O)NC2(C(C)O)CC2)CC1(C)C,Enamine_REAL,true
m_282151____27681024____27586784____29959706,CCCCC(C)CCCN(CC1=NC=CC(C)=C1OC)C(=O)C#C[C@@H](C)O,Enamine_REAL,true
m_280710____31591966____31665126____31726722,C#CCC(C)(C)NC(=O)C(C(=O)NCCC1CC(O)C1)C(C)C,Enamine_REAL,true
m_275592____25037260____18918198____15863644,CCC(CC)(CCNC(=O)C1=NN=CC=C1C)NC(=O)C(C)=CC1=CC=CN=C1,Enamine_REAL,false
m_275592____18896832____18918286____15864360,CSC(C)(C)/C=C/C(=O)NCC1CCN(C(=O)CCOC2COC2)C12CCC2,Enamine_REAL,true
m_282151____25203718____27611038____25232542,CC1=C(C(=O)N(CCOCCC(C)C)CC2CCCC2C)SC=N1,Enamine_REAL,false
m_279130____28137078____28597676____28196360,COC1=CC=C(C(=O)NCC2(C3=CN(CCC(=O)O)N=N3)CCC2)C(C2CC2)=C1,Enamine_REAL,false
m_282890____26745788____26761166____74653016,N#CC1=CC(C2=NN=C3CC4CCC(CN32)N4C(=O)C2=CNC(Cl)=C2)=CC=C1,Enamine_REAL,false
m_276450____14193416____27787950____28196598,COC(=O)C1=C(C)SC(N2CCOC(C(C)NC(=O)CC(F)(F)C(C)(C)C)C2)=N1,Enamine_REAL,false
